"","Flag","FlagCountry","Beam","Draft","Length","Type","Name"
"696","DE","Alemanya",42.8,14.61,336,"Portacontenidors","CHICAGO EXPRESS"
"697","DE","Alemanya",48.2,15.5,367,"Portacontenidors","HONG KONG EXPRESS"
"698","DE","Alemanya",19.4,7.42,151.14,"Portacontenidors","SPICA"
"699","DE","Alemanya",19.4,7.42,151.14,"Portacontenidors","WEGA"
"700","DK","Dinamarca",29.8,11.4,210,"Portacontenidors","MAERSK NORFOLK"
"701","DK","Dinamarca",29.8,11.4,210.54,"Portacontenidors","MAERSK NEWPORT"
"702","DZ","Algèria",21.41,8.05,138.64,"Càrrega (Lo-Lo)","TITTERI"
"703","HK","Hong Kong",48.2,16,366,"Portacontenidors","PARIS EXPRESS"
"704","HK","Hong Kong",30.5,9.5,178,"Portacontenidors","DELPHIS RIGA"
"705","HK","Hong Kong",42.8,15.03,322.97,"Portacontenidors","OOCL EUROPE"
"706","HK","Hong Kong",32.2,13.65,294,"Portacontenidors","ALTAMIRA EXPRESS"
"707","HK","Hong Kong",30.5,9.5,177.56,"Portacontenidors","DELPHIS RIGA"
"708","HK","Hong Kong",42.8,15.03,323,"Portacontenidors","OOCL EUROPE"
"709","LR","Libèria",29.8,11.4,211.85,"Portacontenidors","ANTWERP TRADER"
"710","LR","Libèria",30,12,222.2,"Portacontenidors","IRENES RAINBOW"
"711","LR","Libèria",27.9,9.53,175,"Portacontenidors","TASMAN STRAIT"
"712","LR","Libèria",29.8,11.4,225.32,"Portacontenidors","HAMMONIA BALTICA"
"713","LR","Libèria",32.2,12,231,"Portacontenidors","TRF PARTICI"
"714","LR","Libèria",30,12,222.17,"Portacontenidors","IRENES REMEDY"
"715","LR","Libèria",48.2,15.5,366,"Portacontenidors","AL QIBLA EXPRESS"
"716","LR","Libèria",32.2,13.5,294.04,"Portacontenidors","FOS EXPRESS"
"717","LR","Libèria",48.2,15.5,366.08,"Portacontenidors","ALULA EXPRESS"
"718","LR","Libèria",48.2,15.5,366.1,"Portacontenidors","UNAYZAH EXPRESS"
"719","LR","Libèria",32.25,12.62,261.4,"Portacontenidors","ZIM CHINA"
"720","MH","Illes Marshall",51,15.52,369,"Portacontenidors","AL NASRIYAH"
"721","MH","Illes Marshall",25.6,9.2,159,"Portacontenidors","RUTH BORCHARD"
"722","MH","Illes Marshall",32.25,12.6,260,"Portacontenidors","SYNERGY ANTWERP"
"723","MH","Illes Marshall",51,15.52,368,"Portacontenidors","AFIF"
"724","MH","Illes Marshall",51,15.52,368.35,"Portacontenidors","AL DHAIL"
"725","MH","Illes Marshall",25.6,9.2,158.72,"Portacontenidors","RUTH BORCHARD"
"726","MH","Illes Marshall",51,15.52,368.52,"Portacontenidors","SALAHUDDIN"
"727","MT","Malta",30,12,222.11,"Portacontenidors","SATIE"
"728","MT","Malta",48.2,15.5,366,"Portacontenidors","UNAYZAH"
"729","MT","Malta",29.8,11.55,199.95,"Portacontenidors","TEOMAN A"
"730","MT","Malta",48.2,14.5,299.91,"Portacontenidors","CMA CGM JACQUES JOSEPH"
"731","MT","Malta",19.4,7.35,134,"Portacontenidors","X-PRESS MONTE BIANCO"
"732","MT","Malta",28.1,9.5,169.94,"Portacontenidors","JOSITA B"
"733","MT","Malta",30,12,222,"Portacontenidors","SATIE"
"734","MT","Malta",48.2,15.5,366,"Portacontenidors","JEBEL ALI"
"735","MT","Malta",46,14.52,320,"Portacontenidors","APL ANTWERP"
"736","MT","Malta",19.4,7.36,133.58,"Portacontenidors","X-PRESS MONTE BIANCO"
"737","MT","Malta",32.25,12.6,260,"Portacontenidors","ZIM LUANDA"
"738","MT","Malta",32.26,12.6,260,"Portacontenidors","ZIM MONACO"
"739","MT","Malta",32.24,12,213,"Portacontenidors","EMMA A"
"740","MT","Malta",24.5,9,184.01,"Portacontenidors","WANDA A"
"741","MT","Malta",30,12.02,222.15,"Portacontenidors","SINE A"
"742","MT","Malta",30.2,11.5,210,"Portacontenidors","CMA CGM VITORIA"
"743","PT","Portugal",23.4,8,151.72,"Portacontenidors","NIEVES B"
"744","PT","Portugal",21.8,7.33,141,"Portacontenidors","DORIS SCHEPERS"
"745","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","DINA TRADER"
"746","PT","Portugal",22.5,8.71,134,"Portacontenidors","DINA TRADER"
"747","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","ATLANTIS A"
"748","PT","Portugal",30,12,222.14,"Portacontenidors","AS CARELIA"
"749","PT","Portugal",21.8,7.33,141,"Portacontenidors","DREAM"
"750","PT","Portugal",23.5,8.6,157.93,"Portacontenidors","SVENDBORG"
"751","PT","Portugal",30,15.52,222.14,"Portacontenidors","AS CARELIA"
"752","PT","Portugal",30.2,11.5,210,"Portacontenidors","BOMAR CALAIS"
"753","PT","Portugal",23.2,8.7,141,"Portacontenidors","AVILA"
"754","PT","Portugal",30,12,222,"Portacontenidors","AS CARELIA"
"755","PT","Portugal",22.5,8.71,134.44,"Portacontenidors","DAGMAR"
"756","SG","Singapur",40,14.02,293,"Portacontenidors","MOL PRESENCE"
"757","SG","Singapur",37.3,13,249.92,"Portacontenidors","MEDITERRANEAN EXPRESS"
"758","SG","Singapur",29.8,11.4,211,"Portacontenidors","MAERSK NAIROBI"
"759","SG","Singapur",25,9.5,170.02,"Portacontenidors","GFS SAPPHIRE"
"760","TR","Turquia",29.8,11.4,210.52,"Portacontenidors","GULBENIZ A"
"761","TR","Turquia",35.19,11,186,"Portacontenidors","IZMIT EXPRESS"
"762","TR","Turquia",35.2,11,186.02,"Portacontenidors","MERSIN EXPRESS"
"763","CY","Xipre",17,7.6,105,"Tancs","OTELLO"
"764","CY","Xipre",18,7.1,110,"Tancs","ARABELLA"
"765","DE","Alemanya",26.4,9.05,168,"Tancs","AURELIA"
"766","DK","Dinamarca",23,8.9,144,"Tancs","BRO NYBORG"
"767","DK","Dinamarca",19.6,8,130,"Tancs","ERRIA SWAN"
"768","DK","Dinamarca",16,7,103,"Tancs","ORALYNN"
"769","DK","Dinamarca",14.1,5.7,92.86,"Tancs","SUSANNE THERESA"
"770","IT","Itàlia",16.5,6.87,114,"Tancs","ETRUSCO"
"771","IT","Itàlia",20.4,9.4,138,"Tancs","ENRICO IEVOLI"
"772","IT","Itàlia",18,7.45,110,"Tancs","IEVOLI SPEED"
"773","IT","Itàlia",16.98,6.6,100,"Tancs","COSMO"
"774","IT","Itàlia",19.6,8,129.75,"Tancs","RUBINO"
"775","IT","Itàlia",15.4,6.42,99.67,"Tancs","ALESSANDRO F"
"776","LR","Libèria",27.4,11.52,184,"Tancs","NORVIKEN"
"777","LR","Libèria",32.26,11.15,180,"Tancs","HISTRIA DIONE"
"778","MH","Illes Marshall",23.7,9.69,146,"Tancs","MARMOTAS"
"779","MH","Illes Marshall",22,8.5,120,"Tancs","EVA DP"
"780","MH","Illes Marshall",24,9.76,146,"Tancs","STREAM ATLANTIC"
"781","MH","Illes Marshall",16.6,6.7,109.98,"Tancs","EMIRALP"
"782","MH","Illes Marshall",20.4,8.65,122,"Tancs","PORTOLA"
"783","MH","Illes Marshall",23.9,9.32,146.5,"Tancs","ORCHID AMERICAS"
"784","MH","Illes Marshall",20.4,8.71,128.6,"Tancs","TRIPLE A"
"785","MH","Illes Marshall",32.2,13.32,183.06,"Tancs","SILVER ZOE"
"786","MH","Illes Marshall",27.1,10.02,159.03,"Tancs","CHEM RANGER"
"787","MT","Malta",19.8,8.15,130,"Tancs","ATLANTIK MIRACLE"
"788","MT","Malta",15,6.04,100,"Tancs","LILLO SWAN"
"789","MT","Malta",18.6,7.8,110,"Tancs","NORTHSEA BETA"
"790","MT","Malta",15,6.04,99.9,"Tancs","LILLO SWAN"
"791","MT","Malta",18.9,7.97,132,"Tancs","SELENKA"
"792","MT","Malta",18.8,7.4,115,"Tancs","TRANS EMERALD"
"793","MT","Malta",21.7,8.7,143,"Tancs","FMT BERGAMA"
"794","MT","Malta",17.2,7.24,124,"Tancs","MED ANTARCTIC"
"795","MT","Malta",17.2,7.2,124,"Tancs","HEATHER"
"796","MT","Malta",16.8,6.29,105.5,"Tancs","ATLANTIS ANTIBES"
"797","MT","Malta",16.9,6.75,119.6,"Tancs","ATA OCEAN"
"798","MT","Malta",16,6.97,100,"Tancs","LIKYA C"
"799","MT","Malta",17.2,7.24,123.9,"Tancs","MED ARCTIC"
"800","MT","Malta",16.6,7.11,103.6,"Tancs","TRANS HOLM"
"801","MT","Malta",16.6,6.7,99.99,"Tancs","TARSUS"
"802","MT","Malta",20,8.75,123.22,"Tancs","TRANS CHEMICA"
"803","MT","Malta",17.2,7.24,119.9,"Tancs","MED SERHAT"
"804","MT","Malta",17.2,7.24,123.25,"Tancs","MED CANARY"
"805","MT","Malta",31,11.1,176,"Tancs","GEA"
"806","NL","Països Baixos",18.8,7.41,115,"Tancs","LISA ESSBERGER"
"807","NL","Països Baixos",18.8,7.4,115,"Tancs","ANNELIESE ESSBERGER"
"808","NO","Noruega",16.6,7.11,104,"Tancs","KILSTRAUM"
"809","NO","Noruega",18.8,7.81,118.14,"Tancs","TRANS EXETER"
"810","PA","Panamà",21.6,9.11,134,"Tancs","CHEMICAL CHALLENGER"
"811","PA","Panamà",28,10.7,179.99,"Tancs","GOLD TRADER I"
"812","PA","Panamà",27.4,11.52,184.32,"Tancs","STAR N"
"813","PT","Portugal",22.4,9.7,161.65,"Tancs","HARBOUR EXPRESS"
"814","SG","Singapur",23.7,9.76,147,"Tancs","MTM SOUTHPORT"
"815","SG","Singapur",24,9.72,149,"Tancs","FAIRCHEM INTEGRITY"
"816","TR","Turquia",16,7.88,100,"Tancs","EMIN REIS"
"817","CY","Xipre",24,3.39,87,"Transbordadors","CECILIA PAYNE"
"818","MT","Malta",24.2,5.5,154.51,"Transbordadors","BAHAMA MAMA"
"819","AG","Antigua i Barbuda",23.5,9.8,185,"Granelers","LAKE ERIE"
"820","BS","Bahames",30,10.33,179.99,"Granelers","UNITY NORTH"
"821","CY","Xipre",15.6,6.2,100,"Càrrega (Lo-Lo)","TELMO"
"822","ES","Espanya",15.2,7.05,119,"Càrrega (Lo-Lo)","ROIBEIRA"
"823","ES","Espanya",15.9,6.54,118.14,"Càrrega (Lo-Lo)","ATALAYA TMA"
"824","HK","Hong Kong",28.2,10.2,177.5,"Granelers","JIN XING LING"
"825","HK","Hong Kong",32.24,13.03,199.9,"Granelers","CL CHRISTINA"
"826","IT","Itàlia",18.2,7.06,108,"Càrrega (Lo-Lo)","SDS GREEN"
"827","IT","Itàlia",20,7.6,140,"Càrrega (Lo-Lo)","HERMANA"
"828","IT","Itàlia",20,7.79,140,"Càrrega (Lo-Lo)","HARTURA"
"829","IT","Itàlia",18.2,7.06,108,"Càrrega (Lo-Lo)","SDS RED"
"830","IT","Itàlia",20,7.79,140.3,"Càrrega (Lo-Lo)","HARTURA"
"831","IT","Itàlia",18.2,7.06,108.2,"Càrrega (Lo-Lo)","SDS RED"
"832","LR","Libèria",31,10.03,183,"Granelers","STELLAR RIONI"
"833","LR","Libèria",32.26,12.94,198,"Granelers","VAN JAGUAR"
"834","MH","Illes Marshall",32.26,13.3,200,"Granelers","KENNADI"
"835","MH","Illes Marshall",28.4,10.8,179.9,"Granelers","PURPLE SEA"
"836","MT","Malta",16.3,7.15,106.8,"Càrrega (Lo-Lo)","GUNERLER"
"837","MT","Malta",18.2,7.05,108.2,"Càrrega (Lo-Lo)","MANISA BALU"
"838","MT","Malta",32.26,12.8,190,"Granelers","PERTH I"
"839","PA","Panamà",32.2,11,180,"Granelers","NORD SINGAPORE"
"840","PA","Panamà",28.2,10.1,180,"Granelers","CIARA ENTERPRISE"
"841","PA","Panamà",12.5,6.4,88,"Càrrega (Lo-Lo)","FOCHA"
"842","PA","Panamà",15.4,5.65,98,"Càrrega (Lo-Lo)","GLORIA 1905"
"843","PA","Panamà",32.26,13.3,200,"Granelers","PORTO LEONE"
"844","PA","Panamà",31.6,9.97,182.94,"Granelers","BUNUN RESPECT"
"845","PT","Portugal",30,10.5,179.98,"Granelers","EDWARD OLDENDORFF"
"846","CY","Xipre",16.51,4.01,139,"Transbordadors","GUBAL TRADER"
"847","CY","Xipre",24.8,6.9,187,"Transbordadors","GOLDEN BRIDGE"
"848","CY","Xipre",25,6.9,204,"Transbordadors","GNV SPIRIT"
"849","ES","Espanya",25.6,6.71,186,"Transbordadors","CIUDAD DE PALMA"
"850","ES","Espanya",28.7,7.4,183,"Transbordadors","CIUDAD DE ALCUDIA"
"851","ES","Espanya",21,6,141.25,"Car-carrier","BOUZAS"
"852","ES","Espanya",24.2,5.5,155,"Transbordadors","CIUDAD DE MAHON"
"853","ES","Espanya",26.4,6.7,176,"Transbordadors","CIUDAD DE BARCELONA"
"854","IT","Itàlia",26.8,6.69,188,"Transbordadors","MAJESTIC"
"855","IT","Itàlia",28.41,6,186,"Transbordadors","GNV ALLEGRA"
"856","IT","Itàlia",28.41,6.7,166.3,"Transbordadors","GNV ALLEGRA"
"857","IT","Itàlia",28.41,6,166.3,"Transbordadors","GNV ALLEGRA"
"858","IT","Itàlia",26.8,6.74,202.78,"Transbordadors","EXCELLENT"
"859","IT","Itàlia",27.6,6.3,164,"Transbordadors","GNV BLU"
"860","IT","Itàlia",27.6,6.3,164.41,"Transbordadors","GNV BLU"
"861","IT","Itàlia",25,6.9,204,"Transbordadors","GNV SPIRIT"
"862","IT","Itàlia",29,6.53,161,"Transbordadors","GNV ATLAS"
"863","IT","Itàlia",25.59,6.55,203,"Transbordadors","GNV BRIDGE"
"864","IT","Itàlia",28,6.82,188.15,"Transbordadors","FANTASTIC"
"865","IT","Itàlia",25.6,6.79,186.44,"Transbordadors","GNV SEALAND"
"866","IT","Itàlia",26.8,6.9,202.78,"Transbordadors","EXCELSIOR"
"867","MH","Illes Marshall",32.26,14,225,"Granelers","YASA TEAM"
"868","MT","Malta",16,6.32,122,"Tancs","REKON"
"869","NL","Països Baixos",12.4,4.94,89,"Càrrega (Lo-Lo)","MARRY-S"
"870","PA","Panamà",35,14.47,229,"Granelers","NAVIOS CORAL"
"871","PA","Panamà",32.24,14.52,228.9,"Granelers","NEW WAVELET"
"872","DK","Dinamarca",27.4,11.8,183.18,"Tancs","KIRSTEN MAERSK"
"873","DK","Dinamarca",32.2,12.22,183,"Tancs","TORM HORIZON"
"874","DK","Dinamarca",32.2,11.15,183,"Tancs","MAERSK CUMULUS"
"875","DK","Dinamarca",15.6,6.3,106.2,"Tancs","ORASUND"
"876","DK","Dinamarca",16,6.97,100,"Tancs","LIKYA THERESA"
"877","DK","Dinamarca",19.05,7.6,101.39,"Tancs","TINA THERESA"
"878","HK","Hong Kong",27.4,11.32,184,"Tancs","ATLANTIC JUPITER"
"879","IT","Itàlia",20,8.29,137,"Tancs","GIULIA IEVOLI"
"880","IT","Itàlia",16.8,7.38,112,"Tancs","LEALE"
"881","IT","Itàlia",31,11.1,176,"Tancs","MAGNIFICA"
"882","IT","Itàlia",31,11.6,176,"Tancs","VALLE DI NAVARRA"
"883","IT","Itàlia",32.2,11,180,"Tancs","NINA"
"884","IT","Itàlia",31,11.1,176,"Tancs","MARIA M"
"885","IT","Itàlia",31,11,176,"Tancs","FUTURA"
"886","IT","Itàlia",20.4,8.03,136.5,"Tancs","ACQUAMARINA"
"887","IT","Itàlia",23,9.65,161.08,"Tancs","CALAJUNCO M"
"888","IT","Itàlia",31,11,175.96,"Tancs","FUTURA"
"889","LR","Libèria",27.34,11.72,183,"Tancs","AMPHITRITE"
"890","LR","Libèria",17.6,7.2,113,"Tancs","GLOBAL LAKE"
"891","LR","Libèria",27.4,11.62,182.86,"Tancs","CHEM NICHOLAS"
"892","LR","Libèria",32.2,11,180,"Tancs","NORIENT SATURN"
"893","LR","Libèria",27.4,11.32,184.32,"Tancs","KRITI CAPTAIN"
"894","LR","Libèria",32.2,11,180,"Tancs","HISTRIA GEMMA"
"895","LR","Libèria",27.4,11.32,184.32,"Tancs","ALKEA"
"896","LR","Libèria",32.2,13.09,182.5,"Tancs","PACIFIC AZUR"
"897","LR","Libèria",27.4,11.52,184.32,"Tancs","ROSE I"
"898","LR","Libèria",32.2,13.02,183,"Tancs","ELANDRA BLU"
"899","LR","Libèria",32.2,12.07,179.88,"Tancs","ANTARES I"
"900","LR","Libèria",32.2,13.12,182.5,"Tancs","PACIFIC COBALT"
"901","MH","Illes Marshall",27.4,11.52,184,"Tancs","NAVIG8 ALMANDINE"
"902","MH","Illes Marshall",27.4,11.71,184,"Tancs","NAVIG8 ACHROITE"
"903","MH","Illes Marshall",27.4,11.71,184,"Tancs","NAVIG8 ADAMITE"
"904","MH","Illes Marshall",20.4,8.71,129,"Tancs","TRIPLE A"
"905","MH","Illes Marshall",27.4,11.71,184.06,"Tancs","HAFNIA ACHROITE"
"906","MH","Illes Marshall",27.34,11.22,182.55,"Tancs","MAVROUDA"
"907","MH","Illes Marshall",32.22,13.3,183.32,"Tancs","UOG SYROS"
"908","MH","Illes Marshall",32.24,14.22,228,"Tancs","LA BOHEME"
"909","MH","Illes Marshall",32.2,13.51,189.02,"Petroliers","BEKS EBRU"
"910","MH","Illes Marshall",32.2,13.33,183.12,"Tancs","STI PONTIAC"
"911","MT","Malta",17.19,6.86,121,"Tancs","FT QUINTO"
"912","MT","Malta",27.4,11.02,183,"Tancs","AZAHAR"
"913","MT","Malta",17.2,6.86,120,"Tancs","FT NERVI"
"914","MT","Malta",32.2,11,180,"Tancs","HISTRIA IVORY"
"915","MT","Malta",16.9,6.79,114,"Tancs","HIRA V"
"916","MT","Malta",22.4,9.7,162,"Tancs","MEHMET A"
"917","MT","Malta",31,11.1,176,"Tancs","GEORGIA"
"918","MT","Malta",16.6,6.7,100,"Tancs","TARSUS"
"919","MT","Malta",32.2,10.5,180,"Tancs","HISTRIA CORAL"
"920","MT","Malta",16,6.36,107.6,"Tancs","BOMAR CERES"
"921","MT","Malta",16,6.35,107.6,"Tancs","ATLANTIS ARACELI"
"922","MT","Malta",17.2,6.86,119.86,"Tancs","FT NERVI"
"923","MT","Malta",15.8,6.58,107.34,"Tancs","BOMAR MARS"
"924","MT","Malta",15.8,6.65,109,"Tancs","YM MARS"
"925","MT","Malta",21.7,8.7,142.98,"Tancs","FMT BERGAMA"
"926","MT","Malta",17.19,6.86,120.68,"Tancs","FT QUINTO"
"927","MT","Malta",32.2,12.22,183,"Tancs","MRC SEDEF"
"928","MT","Malta",32.2,13.28,183.06,"Tancs","EUROSAILOR"
"929","NO","Noruega",32.2,12.32,183,"Tancs","FINNANGER"
"930","PA","Panamà",32.2,13,183,"Tancs","OMODOS"
"931","PA","Panamà",31,11.6,176,"Tancs","DUKE I"
"932","PA","Panamà",16.8,6.29,105.5,"Tancs","BARBAROS ULUC VARDAL"
"933","PA","Panamà",32.2,12.43,183,"Tancs","SW TROPEZ I"
"934","SG","Singapur",32.2,12.58,183,"Tancs","TORM ALICE"
"935","SG","Singapur",37,14.02,228,"Tancs","BOW PIONEER"
"936","SG","Singapur",32,10.22,180,"Tancs","HANS MAERSK"
"937","SG","Singapur",29.18,9.52,175.24,"Tancs","MAERSK BRIGIT"
"938","IT","Itàlia",34,7.2,238,"Ro-Ro","ECO SAVONA"
